Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
Christmas Leroy,"Fermentation haute, Bière de Noël",0,Brasserie Van Eecke,Poperinge,West Flanders,Unknown,3,77,Unknown,50.8556646,2.7264961
Christmas-Verhaeghe,"Fermentation haute, Bière de Noël",0,Brasserie Verhaeghe,Vichte,West Flanders,Unknown,0,0,Unknown,50.8354873,3.4048906
Christmas Pale Ale,"Fermentation haute, Bière de Noël",0,Brasserie De Ryck,Herzele,East Flanders,Unknown,0,0,Unknown,50.8860005,2.5319929
Ciney Blonde,"Fermentation haute, Blonde",0,Alken-Maes,Alken,Limburg,Unknown,3,81969,Unknown,50.87932945,5.307086120219811
Ciney Brune,"Fermentation haute, Brune",0,Alken-Maes,Alken,Limburg,Unknown,3,28681,Unknown,50.87932945,5.307086120219811
Cluysenaer,Fermentation haute,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,3320,Unknown,51.1152543,3.8160967304356808
Cnudde Bizon,Fruitée,0,Brasserie Cnudde,Audenarde,East Flanders,Unknown,0,0,Unknown,50.8433705,3.6041443
Cnudde Oudenaards bruin (Kerkhofbière),Vieille brune,0,Brasserie Cnudde,Audenarde,East Flanders,Unknown,0,0,Unknown,50.8433705,3.6041443
Couckelaerschen Doedel,Ambrée,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,717,Unknown,45.799734,11.7941917
Colère Rouge,Ale,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,3,56,Blend de quadruple vieillit en fut de barolo et de quadruple aux griottes. Labellisé a 8° mais après tests serait a 11°.,49.6952272,5.4924175
Content,Triple,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
Contrapils,Pils,0,Brasserie Contreras,Gavere,East Flanders,Unknown,2,278,Unknown,50.9292999,3.6863506459883193
Contreras' Especial Mars,"Fermentation haute, Bière de saison",0,Brasserie Contreras,Gavere,East Flanders,Unknown,0,0,Unknown,50.9292999,3.6863506459883193
Cookie Beer,Spéciale,0,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,Unknown,0,0,Unknown,50.5585572,4.133186556057117
Coq Hardi,"Fermentation basse, Blonde",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,4685,Unknown,50.9808426,4.552216324874748
La Corne du Bois des Pendus Blonde,"Fermentation haute, Blonde",0,Brasserie des Légendes,Ath +  Ellezelles,Hainaut,Unknown,3,55280,Unknown,50.62114495,3.7563987945579336
La Corne du Bois des Pendus Triple,"Fermentation haute, Triple",0,Brasserie des Légendes,Ath +  Ellezelles,Hainaut,Unknown,3,67470,"Corne Triple is a powerful tasting beer combining the flavors of malt with the refreshing, fruity notes of American hops. Copper blond in color, it is highly aromatic and easy to drink.

Corne beers are served in a horn glass held on a wooden stand.",50.62114495,3.7563987945579336
Corsendonk Agnus,"Blonde, Triple",0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,0,Unknown,50.3112826,4.944263618532086
Corsendonk Blonde,Fermentation haute,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,18831,This beer has hops aromas on the nose with spices and fruit notes. Spice on the palate with wellbalanced bitterness lingering in the finish.,50.3112826,4.944263618532086
Corsendonk Brune,Fermentation haute,0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,0,Unknown,50.3112826,4.944263618532086
Corsendonk Christmas Ale,Bière de Noël,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,74600,"This typical deep red-brown end-of-year beer was made from roasted special malts, the finest hops and selected yeasts and seasoned with a hint of coriander. Corsendonk Christmas gives the best of what a Christmas beer can give, a round balanced taste with a dry and refined adonk.

In the USA, Corsendonk Christmas Ale was honored with the Best of Flight award.",50.3112826,4.944263618532086
Corsendonk Pater,"Rouge-brune, Double",0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,0,Unknown,50.3112826,4.944263618532086
Corsendonk Rousse,"Ambrée, Fermentation haute",0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,21527,"This is a Red-Amber crystal clear beer with a typical riche nose and a fine froth. Mild on the palate withwell-balanced bitterness, and notes of caramelized malt.",50.3112826,4.944263618532086
Corsendonk Triple 11.11.11,Triple (Bière-étiquette),0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,600,Unknown,50.3112826,4.944263618532086
Courage,"Fermentation haute, Bière de Noël",0,Brasserie De Dochter van de Korenaar,Baerle-Duc,Antwerp,Unknown,0,0,Unknown,51.4383589,4.9316995
Coy'Heimsen,Rouge-brune (Bière-étiquette),0,Brasserie Van Eecke,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
Crack Pils,"Fermentation basse, Pils",0,Brasserie Het Sas,Ypres,West Flanders,Unknown,2,33,Unknown,50.8521947,2.8846047
La Cre Tonnerre,"Fermentation haute, Triple",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,1085,"The name evokes a musical group of ‘chanson française’, which plays music all over the world and is travelling by wind and water through different countries. A blonde for the summer in perfect marriage with rum of Cuba added before its 2nd fermentation, it is undoubtedly a receipt which can only refresh. Its savour is sweet, round and very appetizing. Are you ready for the trip?",50.6494429,3.925039716650109
Crianza,Lambic,0,Brasserie de la Senne,Molenbeek-Saint-Jean,Brussels,Unknown,3,1346,"Crianza belongs to the family of Flemish Red-Brown ales. Born out of a mixed fermentation, she spent more than a year in oak barrels.
Her body has copper reflections, and her aspect is limpid. Her foam is beige and creamy, with a nice hold. She smells like Northern cherries, with a woody and winey accent, and a slightly animal touch given by the Brettanomyces yeast. In the mouth, these flavors are completed by stewed apples, notes of Agen plums, blackberries, spices (cinnamon, cloves, licorice), and a very lightly caramelized touch of malt and biscuit. Her slightly sour character makes her surprisingly refreshing.",50.867886850000005,4.349089742262716
Cristal Alken,"Fermentation basse, Pils",0,Alken-Maes,Alken,Limburg,Unknown,0,0,Unknown,50.87932945,5.307086120219811
Cristal 1928,"Fermentation basse, Pils",0,Alken-Maes,Alken,Limburg,Unknown,3,287,Unknown,50.87932945,5.307086120219811
Crius,Blonde Forte,0,Boury,Roeselare,West Flanders,Unknown,3,11974,Unknown,18.0734077,-73.8662882
Curtius,"Blonde, Triple",0,Microbrasserie de la Principauté,Liège,Liege,Unknown,0,0,Unknown,50.6450944,5.5736112
Cuvée Angélique,"Double, Spéciale",0,Brasserie De Glazen Toren,Erpe-Mere,East Flanders,Unknown,3,7983,Beer made by female members of OPA Aalst (local branch of Zythos vzw) and now released for mothers’ day.,50.91514315,3.939529208290114
Cuvée de Bouillon,"Blonde, Fermentation haute",0,Brasserie de Bouillon,Bouillon,Luxembourg,Unknown,3,2316,Unknown,49.8206215,5.086273
Cuvée de Briqville,Unknown,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,704,Unknown,53.7435722,-0.3394758
Cuvée de Francorchamps,(Bière-étiquette),0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,0,9,Unknown,50.6749419,4.152957560369655
Cuvée De Ranke,Fermentation mixte,0,Brasserie De Ranke,Mouscron,Hainaut,Unknown,3,26576,"Cuvée De Ranke is a mixed fermentation, blended ale. A combination of barrel-aged beer and lambic. 70% Belgium sour ale with 30% lambic.

Taste: Full-bodied sour flavour, with notes of oak from oak-aging.",50.7436672,3.2142729
Cuvée des Trolls,"Fermentation haute, Blonde",0,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,Unknown,3,175079,The addition of dried orange peel at the boiling stage brings a pleasantly fruity aroma to the fore. It harmonises quite beautifully with the well-rounded and delicate taste of this beer.,50.5759698,3.5559290503097984
Cuvée des Trolls Triple,"Blonde, Triple",0,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,Unknown,3,9994,"The addition of dried orange peel at the boiling stage produces a pleasantly fruity initial aroma. On the taste, this manages to achieve a pleasing union to the underlying roundess and delicate flavour of Cuvée des Trolls Triple. The re-fermentation in the bottle helps to reinforce those tender and fruity tones.",50.5759698,3.5559290503097984
Cuvée Delphine,Stout,0,Brasserie Deca,Vleteren,West Flanders,Unknown,4,18080,"This beer takes its name from Delphine Boël, the unlawful daughter of King Albert II. She has struggled for acknowledgement in both her professional and private lives, so we decided she deserves a tribute fit for a princess. Cuvée Delphine is our Black Albert, carefully matured on Four Roses bourbon barrels for 12 months. Mrs. Boël has kindly allowed us to use her artwork for its label, which speaks for itself.

In a sea of sickly sweet and heavy bourbon aged stouts, we wanted Cuvée Delphine to shine brightly as a pinnacle of balance and restraint. Only with a base beer as potent as Black Albert could we manage to make the aging process shine. Notes of oak and slight vanilla pair extraordinarily well with the familiar coffee and brown sugar notes from the Black Albert. The subdued alcohol ties it all together in a lush, mellow experience. Cuvée Delphine will set you free.",47.6865361,6.500773
Cuvée d'Erpigny,Quadruple,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
La cuvée du Boulanger,Blonde,0,Brasserie de Bouillon,Bouillon,Luxembourg,Unknown,2,43,Unknown,49.8206215,5.086273
Cuvée du Château,Brune,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,0,0,Unknown,50.9202812,3.2549979
Cuvée du Flo Ambrée,"Fermentation haute, Ambrée",0,Brasserie du Flo,Hannut,Liege,Unknown,3,98,Unknown,50.664236599999995,5.123867960851182
Cuvée du Flo Blonde,"Fermentation haute, Blonde",0,Brasserie du Flo,Hannut,Liege,Unknown,3,430,Unknown,50.664236599999995,5.123867960851182
Cuvée du Flo Brune,"Fermentation haute, Brune",0,Brasserie du Flo,Hannut,Liege,Unknown,3,24,Unknown,50.664236599999995,5.123867960851182
Cuvée du Flo Fruit,"Fermentation haute, Fruitée",0,Brasserie du Flo,Hannut,Liege,Unknown,0,1,Unknown,50.664236599999995,5.123867960851182
Cuvée du Flo Miel,"Fermentation haute, Bière au miel",0,Brasserie du Flo,Hannut,Liege,Unknown,0,3,Unknown,50.664236599999995,5.123867960851182
Cuvée du Tchesté,Fermentation haute,0,Brasserie des Monts,Ellezelles,Hainaut,Unknown,3,190,Unknown,45.8142586,4.8184525
Cuvée Ermesinde,"Fermentation haute, Ambrée",0,Brasserie Saint-Monon,Nassogne,Luxembourg,Unknown,3,337,Unknown,50.1287359,5.3418985
Cuvée Freddy,Stout,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,3,22052,Sigma aged on red wine barrels. Imperial Oud Bruin. Fermented with our own wild house yeast strain 'Morpheus'.,50.78285655,3.375586376478683
Cuvée Jeun'homme,Blonde,0,Brasserie De Leite,Oostkamp,West Flanders,Unknown,3,10161,"Cuvee Jeune Homme is an oak-aged bitter beer. Originally it had a slight citrus-bitterness due to its 4 hops and the subsequent dry hopping. It is acidified while it ripens for 4 months in oak wine casks. The daring bitter-sour combination is moderated by this ripening process and as a consequence it is a very pleasant drinking beer.
Ingredients: water, barley malt, sugar, hops, yeast. Re-fermented in bottle.",51.12144055,3.2342003757779523
Cuvée Jolie Môme,"Fermentation haute, Blanche",0,Brasserie du Flo,Hannut,Liege,Unknown,3,12,Unknown,50.664236599999995,5.123867960851182
Cuvée René Oude Gueuze,Gueuze,0,Brasserie Lindemans,Leeuw-Saint-Pierre,Flemish Brabant,Unknown,0,0,Unknown,50.7800261,4.2443604
Cuvée René Oude Kriek,Fruitée à base de Lambic,0,Brasserie Lindemans,Leeuw-Saint-Pierre,Flemish Brabant,Unknown,0,0,Unknown,50.7800261,4.2443604
Cuvée Li Crochon,Blonde,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,788,Unknown,50.3112826,4.944263618532086
Cuvée Mam'zelle,Blonde,0,Brasserie De Leite,Oostkamp,West Flanders,Unknown,3,10855,"Trouble in paradise! A frivolous damsel enters the scene. It is a young lady that over a few months matured in oak wine barrels, which gave her a deep but soft-bitter tannin aftertaste. The taste is full and complex because the brewers induced a controlled souring during the ripening process. The Mam´zelle is by origin a blond beer. Ripening gave her a soft red glow. This is the reason why she is called ‘high-blond’. The alcohol percentage is 8.5 volume. Brewers maintain that she is ‘untameable’.",51.12144055,3.2342003757779523
La Cuvée Nico,Blonde,0,Brasserie du Brabant,Genappe,Walloon Brabant,Unknown,0,2,Unknown,50.5915696,4.3222894
Cuvée Saint-Antoine Blonde,Abbaye,0,Brasserie du Flo,Hannut,Liege,Unknown,0,0,Unknown,50.664236599999995,5.123867960851182
Cuvée Saint-Antoine Brune,"Abbaye, Ale",0,Brasserie du Flo,Hannut,Liege,Unknown,0,0,Unknown,50.664236599999995,5.123867960851182
Cuvée Saint Gilloise,Gueuze,0,Brasserie Cantillon,Anderlecht,Brussels,Unknown,0,0,Unknown,50.841630550000005,4.335866379093762
Cuvée van de Keizer Blauw,RougeSpéciale,0,Brasserie Het Anker,Malines,Antwerp,Unknown,0,0,Unknown,51.0315949,4.4728969
Cuvée van de Keizer Rood,"Blonde, Spéciale",0,Brasserie Het Anker,Malines,Antwerp,Unknown,0,0,Unknown,51.0315949,4.4728969
Dagelyckx bier,(Bière-étiquette),0,Brasserie Jessenhofke,Hasselt,Limburg,Unknown,3,80,Unknown,50.9303735,5.3378043
Dame des Lacs Blonde,Blonde,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,922,Unknown,50.4263301,4.126294247491478
Dame des Lacs Brune,Brune,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,2,328,Unknown,50.4263301,4.126294247491478
Darinckdelver,Stout,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
Dark Oster,Noire,0,Brasserie d'Oster,Manhay,Luxembourg,Unknown,0,0,Unknown,50.2749541,5.659066921151846
Dark Sister,Brune,0,Brasserie Anders!,Halen,Limburg,Unknown,3,27280,"The Dark Sister of the Delta IPA, a Belgian Black IPA with an evil twist. 6,66 ABV of pure hops and malts darkness !",52.9587484,5.7233277
Dark White BBB,Fermentation haute,0,Brasserie Fantôme,Érezée,Luxembourg,Unknown,0,0,Unknown,50.2930558,5.5597642
De Boomgaard Framboise,Fruitée,0,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,Unknown,2,81,Unknown,50.5585572,4.133186556057117
de Chokier,"Fermentation haute, Ambrée",0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,227,Unknown,51.1152543,3.8160967304356808
De Eycken Balthazar,brune,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,3,158,Unknown,50.78285655,3.375586376478683
De Garre Tripel,Triple,0,Staminee De Garre,Bruges,West Flanders,Unknown,0,0,Unknown,51.2085526,3.226772
De Graal Blond,Blonde,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
De Graal Dubbel,brune,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
De Graal Gember,Blonde,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
De Graal SloCK,Unknown,0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,76,"Bitter koperkleurig met een alcoholgehalte van 6,5 vol% naar een origineel recept van Carl Kins http://degraal.be",51.7168889,9.1841762
De Graal Tripel,Triple,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
De Graal Quest,Unknown,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
De Graal Triverius,Blanche,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
Deinze Export,Unknown,0,Brasserie Sint Canarus,Deinze,East Flanders,Unknown,2,51,Unknown,50.9840526,3.5274017
De Kavijaks,IPA,0,Brasserie De Dolle Brouwers,Dixmude,West Flanders,Unknown,3,12,Unknown,51.0333408,2.8647185
De Koninck,Ambrée,0,Brasserie De Koninck,Anvers,Antwerp,Duvel Moortgat,0,0,Unknown,51.2211097,4.3997081
De Koninck Triple d'Anvers,Blonde,0,Brasserie De Koninck,Anvers,Antwerp,Duvel Moortgat,0,0,Unknown,51.2211097,4.3997081
De Koninck Winter,Rouge,0,Brasserie De Koninck,Anvers,Antwerp,Duvel Moortgat,0,0,Unknown,51.2211097,4.3997081
Delhaize Christmas,(Bière-étiquette),0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",0,0,Unknown,50.9125769,4.1125154
Delhaize Bière de table Blond,Bière de table,0,Brasserie Cubus,Incourt,Walloon Brabant,Unknown,0,0,Unknown,50.39081,2.15181
Delhaize Bière de table Brune,Bière de table,0,Brasserie Cubus,Incourt,Walloon Brabant,Unknown,0,0,Unknown,50.39081,2.15181
Delirium Nocturnum,"Brune, Fermentation haute",0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,230661,"Color and Sight:
Dark Chocolate Brown with a compact foam, white-yellow, stable and creamy. Odor Touches of caramel, mocca and chocolate. Spices such as licorice and coriander are also present.

Taste:
Initially a very pleasant sensation in the mouth of alcohol and softness. It is followed by a growing bitterness, which comes partly from hops, but also from roasted malt and chocolate malt.
Towards the end, pleasant balance between bitter, sour and sweet notes.",44.5620476,7.32049
Delirium Tremens,Triple,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,747185,"The allusion to pink elephants and the choice of names is not due to chance. With a particular character, the unique taste results from triple fermentation and the use of three different yeast strains. Sweet, biscuit malt backbone, supported by pleasant warmth and spice, finishes well rounded, floral, and dry.

Color and Sight:
Pale blond, the fine and regular sparkle creates a nice, stable foam head.

Scent:
Slightly malty, heavy touch of alcohol, spicy.

Taste:
A good shot of alcohol ignites in the mouth, as it were, which really warms the tongue and palate. The taste is also characterized by its roundness. The finish is strong, long and dry bitter.",44.5620476,7.32049
Delirium Christmas,Bière de Noël,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,204704,"Brewed only for the Christmas and New Year, Noël complete the Delirium trilogy. Its appearance is a superb warm copper to red color, recalling Nocturnum except in its taste. It hides its subtlety by multiple levels of flavor and should be approached with confidence, with a tinge typical Christmas, sauced with a sweet touch, then bitterness.

Color and Sight:
Chestnut amber. A fine, white, creamy and wall-adhesive foam.

Scent:
A complex whole of caramel malt, fruitiness, spiciness, sweetness of the alcohol.

Taste:
Large portion of alcohol, strongly spicy, slight bitterness.
The aftertaste is sweet, spicy and slightly bitter.",44.5620476,7.32049
Delirium Red,Fruitée,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,218811,"Colour and sight: Deep dark red colour, with a light pink, compact and lacing head.

Scent: Soft fruity aroma, with hints of almond and mildly sour cherries.

Flavour: Sweet and fruity, with a nice balance between sweet and sour. An excellent dessert beer.",44.5620476,7.32049
Delta,Blonde,0,Brasserie Anders!,Halen,Limburg,Unknown,0,0,Unknown,52.9587484,5.7233277
De Maeght van Gottem,Blonde,0,Huisbrouwerij Sint-Canarus,Deinze,East Flanders,Unknown,3,10406,Unknown,50.9641504,3.4639172
De Nacht,Bière de Noël,0,Brasserie Vissenaken,Tirlemont,Flemish Brabant,Unknown,0,0,Unknown,50.8074825,4.9371775
Den Alternatief,Lager,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,2,212,"It is hazy, light golden with a huge head, and the foam keeps growing out of the bottle for a very long time. The aroma has notes of yeast with hints of sewer, light fruit and malt. The mouthfeel is very fizzy, rather annoying. The flavour has a light sweetness and notes of yeast, dry citrus, other fruits and malt. The finish is dry and slightly bitter with notes of yeast. IMO a bit out of balance.",50.78285655,3.375586376478683
Den Bi3r,Triple,0,Brasserie Den Tseut,Assenede,East Flanders,Unknown,3,256,Unknown,51.2275942,3.7532864
Den Bras,Brune,0,Brasserie Den Tseut,Assenede,East Flanders,Unknown,0,0,Unknown,51.2275942,3.7532864
Den Drupneuze,Bière de Noël,0,Brasserie Den Tseut,Assenede,East Flanders,Unknown,3,693,Unknown,51.2275942,3.7532864
Den Herberg Amber,Ambrée,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,67,Unknown,53.7435722,-0.3394758
Den Herberg Blond,Blonde,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,2237,Unknown,53.7435722,-0.3394758
Den Herberg Bruin,Brune,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,1164,Unknown,53.7435722,-0.3394758
Den Herberg Tarwe,Blanche,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,1221,Unknown,53.7435722,-0.3394758
Den Mulder,Blonde,0,Brasserie Den Tseut,Assenede,East Flanders,Unknown,3,203,Unknown,51.2275942,3.7532864
Den Tseut,"Blonde, Spéciale",0,Brasserie Den Tseut,Assenede,East Flanders,Unknown,3,1308,Unknown,51.2275942,3.7532864
Den Twaalf,Fermentation haute,0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Den Zytholoog,Blonde,0,Brasserie De Graal,Brakel,East Flanders,Unknown,2,15,Unknown,51.7168889,9.1841762
Dendermonde Tripel,"Abbaye, Triple",0,Brasserie De Block,Merchtem,Flemish Brabant,Unknown,0,0,Unknown,50.9593636,4.2335677
Dentergems Wit,Blanche,0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,80,Unknown,51.0315949,4.4728969
De Regenboog IJzer,Unknown,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
Deugniet,Triple (Bière-étiquette),0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,85248,"Beer for experts

Description
Appearance : blond, living beer with a fine and generous head.
Flair : balanced association of green apple fruit and fine hop.
Taste : light bitterness, smooth, beer with character.
Remark : tasting between 5° and 12°C",50.3112826,4.944263618532086
DeuS,"Brut, Blonde",0,Brasserie Bosteels,Buggenhout,East Flanders,AB InBev,0,0,Unknown,51.0152271,4.2022689
Deux Nigauds,Brune,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,91,Unknown,50.7377318,5.9611134
De Verboden Vrucht,Fermentation haute,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,159,Unknown,50.9215896,4.7570606
De Vlier X-Mas,Bière de Noël,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,0,8,"To withstand the cold winter months and to gain extra resources, brewery De Vlier brings you this 3 grain Christmas ale. This dark top fermented beer is brewed with special malts, so one can perceive hints of coffee and chocolate.",50.9215896,4.7570606
Diabolici,Triple,0,Groupe John Martin,Genval,Walloon Brabant,Unknown,3,6582,Unknown,50.7255373,4.5151481
Dikke Mathile,Fermentation haute,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,14193,Unknown,45.799734,11.7941917
Diôle,Blonde,0,Brasserie des Carrières,Belœil,Hainaut,Unknown,0,0,Unknown,50.5208549,3.6468087298900302
Diôle Ambrée,Ambrée,0,Brasserie des Carrières,Belœil,Hainaut,Unknown,3,2646,Unknown,50.5208549,3.6468087298900302
Diôle Brune,Brune,0,Brasserie des Carrières,Belœil,Hainaut,Unknown,3,1318,Unknown,50.5208549,3.6468087298900302
Diôle de Noël,Saison,0,Brasserie des Carrières,Belœil,Hainaut,Unknown,0,1,Unknown,50.5208549,3.6468087298900302
La Divine,"Fermentation haute, Ambrée",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,9695,"Fille naturelle de la Saint Landelin, La Divine est une bière dorée baptisée du nom du fondateur béatifié de l'Abbaye de Crespin réputée dès le Moyen Âge. Aussi dorée que son aînée est blonde, aussi douce et généreuse que son aînée est fruitée et vive, la Divine se positionne comme un véritable grand cru issu de la Saint Landelin.",50.6494429,3.925039716650109
Dju d'la,Brune,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,35,Unknown,50.7377318,5.9611134
Dobbel Palm,Fermentation haute,0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,51.5118304,-0.124251
Dobbelken Amber,Ambrée,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,186,Unknown,45.799734,11.7941917
Dobbelken Bruin,Brune,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,2,78,Unknown,45.799734,11.7941917
Dogabière,(Bière-étiquette),0,Huisbrouwerij Sint-Canarus,Deinze,East Flanders,Unknown,0,0,Unknown,50.9641504,3.4639172
Dominus Dubbel,Abbaye,0,Groupe John Martin,Genval,Walloon Brabant,Unknown,3,4088,Unknown,50.7255373,4.5151481
Dominus Tripel,"Abbaye, Triple",0,Groupe John Martin,Genval,Walloon Brabant,Unknown,3,5809,Unknown,50.7255373,4.5151481
Donkere Stoere,Brune,0,Brasserie Dijkwaert,Herentals,Antwerp,Unknown,0,4,Unknown,51.1765426,4.8362595
Double Bie,Brune,0,Brasserie De Bie,Dentergem,West Flanders,Unknown,0,0,Unknown,38.9028603,-77.0274147
Double de Brabant,"Double, Brune",0,Groupe John Martin,Genval,Walloon Brabant,Unknown,3,13,Unknown,50.7255373,4.5151481
Double Enghien Blonde,"Fermentation haute, Blonde",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,7646,"The aroma and taste of this beer compose a successful symphony, conducted with care but not in an overstrict manner. The initial taste gives an impression of bitterness that never becomes overpowering, balanced by, where necessary, a round mildness in the centre and at the finish.
The quality hops and the pure malt work together to deliver a harmonious recital.",50.6494429,3.925039716650109
Double Enghien Brune,"Fermentation haute, Ambrée",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,2948,The unique blend of malt varieties gives an exceptional aroma. An unforgettable beer that caresses the nose as well as the taste buds.,50.6494429,3.925039716650109
Double Export,"Fermentation haute, Ambrée",0,Brasserie L'Imprimerie,Uccle,Brussels,Unknown,0,0,Unknown,47.9288739,-3.6895276
La Douce Vertus,"Fermentation haute, Ale",0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,3,3481,"Brune maltée.

Prix 2012 : Best Belgian Beer of Wallonia.

Prix 2018 : Best Local Beer.

Nez malté, couleur brune acajou, amertume en retrait favorisant l’expression et le développement en bouche d’un goût malté ovomaltine, un léger arôme fumé s’exprime en fin de bouche.",49.6952272,5.4924175
Douffe - Strong Ale,"Fermentation haute, cuivrée",0,Les Caves de Saint-Georges,Mons,Hainaut,Unknown,3,117,Unknown,43.6025551,1.4441834
Douffe - Dark Strong Ale,"Fermentation haute, brune",0,Les Caves de Saint-Georges,Mons,Hainaut,Unknown,3,117,Unknown,43.6025551,1.4441834
Douffe - IPA,"Fermentation haute, blonde",0,Les Caves de Saint-Georges,Mons,Hainaut,Unknown,0,0,Unknown,43.6025551,1.4441834
Douffe - Blanche de Mons,"Fermentation haute, blanche",0,Les Caves de Saint-Georges,Mons,Hainaut,Unknown,3,97,Unknown,43.6025551,1.4441834
Douffe - Cuvée Saint Georges,"Blonde de soif, ale",0,Les Caves de Saint-Georges,Mons,Hainaut,Unknown,0,0,Unknown,43.6025551,1.4441834
Douglas Celtic Brown,"Brune, Ale",0,Scottish & Newcastle,Unknown,Unknown,Unknown,3,127,Unknown,55.01050805,-1.6657146954118198
Douglas Celtic Lager,"Blonde, Lager",0,Scottish & Newcastle,Unknown,Unknown,Unknown,2,238,Unknown,55.01050805,-1.6657146954118198
Douglas Celtic Red,"Ambrée-rouge, Fermentation haute",0,Scottish & Newcastle,Unknown,Unknown,Unknown,3,298,"Douglas Celtic Red is a strong beer whose amber verges on red, the colour of brave warriors’ blood. Its taste is direct and precise, with spicy and dry hints suggestive of the exhilaration of combat. Its subtly caramelised flavour returns in force, like a fallen soldier picking himself up. The dark amber colour is redolent of the superb crimson-clad lands from which this beer originated.",55.01050805,-1.6657146954118198
Douglas Celtic Super,"Blonde, Fermentation haute",0,Scottish & Newcastle,Unknown,Unknown,Unknown,3,35,Unknown,55.01050805,-1.6657146954118198
