Bières,Type,Teneur en alcool,Brasserie
Campus Gold,Blonde,"6,2 %",Brasserie Huyghe
Canaille,Blanche,"5,2 %",Brasserie Grain d'Orge
Canaster,Ale,"8,7 %",Brasserie De Glazen Toren
Cantillon Fou'Foune,Gueuze,5 %,Brasserie Cantillon
Cantillon Grand Cru Bruocsella,Gueuze,5 %,Brasserie Cantillon
Cantillon Gueuze 100% Lambic,Gueuze,5 %,Brasserie Cantillon
Cantillon Gueuze 100% Lambic Bio,Gueuze,5 %,Brasserie Cantillon
"Cantillon Gueuze ""drapeau belge""",Gueuze,5 %,Brasserie Cantillon
Cantillon Iris 2000,Gueuze,5 %,Brasserie Cantillon
Cantillon Kriek 100% Lambic,Lambic,5 %,Brasserie Cantillon
Cantillon Lou Pepe,Gueuze,5 %,Brasserie Cantillon
Cantillon Rosé de Gambrinus,Gueuze,5 %,Brasserie Cantillon
Cantillon Lou Pepe Framboise,Gueuze,5 %,Brasserie Cantillon
Cantillon Saint Lamvinus,Gueuze,5 %,Brasserie Cantillon
Cantillon Vigneronne,Gueuze,5 %,Brasserie Cantillon
Caper Fumatis,Brune,"6,3 %",Brasserie Alvinne
Capoen,Ambrée,"6,5 %",De Proefbrouwerij
Captain Cooker Manuka Beer,Ambrée,"5,7 %",De Proefbrouwerij
Captain Cooker White Manuka Beer,Blanche,"4,5 %",De Proefbrouwerij
Cara Pils,Pils,"4,7%",Alken-Maes (Heineken)
Caracole,"Fermentation haute, Ambrée",8 %,Brasserie Caracole
Car d'Or,Blonde,"6,5 %",Brasserie Saint-Feuillien
Carioca,Blanche,"4,8 %",Brasserie de Bastogne par la Brasserie du Lion à Plume
Carlos,"Brune, Fermentation haute","6,5 %",Brasserie Contreras
Carnavalsbière,Blonde,"6,1 %",Brasserie De Graal
Carrousel,"Fermentation haute, Blonde",6 %,Brasserie De Vlier
Caulier Brune,"Fermentation haute, Ambrée-brune","6,8 %",De Proefbrouwerij
Caulier Special Extra,"Fermentation haute, Blonde","4,3 %",De Proefbrouwerij
Caulier Blonde,"Fermentation haute, Blonde","6,8 %",De Proefbrouwerij
Ceci n'est pas un Barley Wine,Barley wine,10 %,Brasserie Sainte-Hélène
Ceci n'est pas une Saison,Saison,"6,5 %",'t Hofbrouwerijke
Ceci n'est pas une Stout,Stout,"6,5 %",'t Hofbrouwerijke
Ceci n'est pas une Triple,Triple,8 %,'t Hofbrouwerijke
La Céleste,Blonde,"6,5 %",Brasserie Grain d'Orge
Celestus,Lager,5 %,Brasserie Haacht
Celis White,Blanche,5 %,Brasserie Van Steenberge
Celtic Angel,"Fermentation haute, Ambrée","6,2 %",De Proefbrouwerij
Cervesia,"Fermentation haute, Blonde",8 %,Brasserie Dupont
Cervoise de l'Avouerie d'Anthisnes,Ambrée,5 %,Brasserie Saint-Monon
Cesar,Triple,"8,5 %",Brasserie Van Steenberge
Cezarken,Lager,"5,5 %",Brasserie Strubbe
Chapeau Gueuze,Gueuze,"5,5 %",Brasserie De Troch
Chapeau Abricot,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Banana,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Cuvée Oude Gueuze,Gueuze,"5,5 %",Brasserie De Troch
Chapeau Exotic (ananas),Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Faro,Faro,"4,75 %",Brasserie De Troch
Chapeau Fraises,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Framboise,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Kriek,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Lemon,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Mirabelle,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Pêche,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch
Chapeau Winter Gueuze,"Gueuze, Bière de Noël","5,6 %",Brasserie De Troch
Charles Quint Blonde Dorée,Blonde,"8,5 %",Brasserie Haacht
Charles Quint Rouge Rubis,Rouge,"8,5 %",Brasserie Haacht
La Chérie,Fruitée,5 %,Brasserie du Val de Sambre
La Chèvenis,Fermentation haute,6 %,Brasserie de Bouillon
Chevetogne,Blonde,"6,2 %",Brasserie des Fagnes
Chimay Bleue,Trappiste,9 %,Abbaye Notre-Dame de Scourmont
Chimay Rouge,Trappiste,7 %,Abbaye Notre-Dame de Scourmont
Chimay Triple,Triple,8 %,Abbaye Notre-Dame de Scourmont
Chimay Dorée,"Blonde, Bière de table","4,8 %",Abbaye Notre-Dame de Scourmont
La Chinette,Blonde,6 %,Brasserie de la Lesse
La Chouffe,"Blonde, Fermentation haute",8 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Chouffe Bok 6666,Ambrée,6 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Chouffe Houblon Dobbelen IPA Triple,IPA,9 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Chouffe Soleil,Blonde,6 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Christmas Leroy,"Fermentation haute, Bière de Noël","7,5 %",Brasserie Van Eecke
Christmas-Verhaeghe,"Fermentation haute, Bière de Noël","7,2 %",Brasserie Verhaeghe
Christmas Pale Ale,"Fermentation haute, Bière de Noël","6,3 %",Brasserie De Ryck
Ciney Blonde,"Fermentation haute, Blonde",7 %,Alken-Maes (Heineken)
Ciney Brune,"Fermentation haute, Brune",7 %,Alken-Maes (Heineken)
Cluysenaer,Fermentation haute,7 %,De Proefbrouwerij
Cnudde Bizon,Fruitée,"5,5 %",Brasserie Cnudde
Cnudde Oudenaards bruin (Kerkhofbière),Vieille brune,5 %,Brasserie Cnudde
Couckelaerschen Doedel,Ambrée,"6,5 %",Brasserie Strubbe
Colère Rouge,Ale,5 %,Brasserie Millevertus
Content,Triple,"7,5 %",Brasserie De Graal
Contrapils,Pils,5 %,Brasserie Contreras
Contreras' Especial Mars,"Fermentation haute, Bière de saison","6,5 %",Brasserie Contreras
Cookie Beer,Spéciale,8 %,Brasserie d'Écaussinnes
Coq Hardi,"Fermentation basse, Blonde","5,5 %",Brasserie Haacht
La Corne du Bois des Pendus Blonde,"Fermentation haute, Blonde","5,9 %",Brasserie des Légendes
La Corne du Bois des Pendus Triple,"Fermentation haute, Triple",10 %,Brasserie des Légendes
Corsendonk Agnus,"Blonde, Triple","7,5 %",Brasserie du Bocq
Corsendonk Blonde,Fermentation haute,"6,5 %",Brasserie du Bocq
Corsendonk Brune,Fermentation haute,"6,5 %",Brasserie du Bocq
Corsendonk Christmas Ale,Bière de Noël,"8,5 %",Brasserie du Bocq
Corsendonk Pater,"Rouge-brune, Double","7,5 %",Brasserie du Bocq
Corsendonk Rousse,"Ambrée, Fermentation haute",8 %,Brasserie du Bocq
Corsendonk Triple 11.11.11,Triple (Bière-étiquette),"7,5 %",Brasserie du Bocq
Couckelaerschen Doedel,Fermentation haute,"6,5 %",Brasserie Strubbe
Courage,"Fermentation haute, Bière de Noël",8 %,Brasserie De Dochter van de Korenaar
Coy'Heimsen,Rouge-brune (Bière-étiquette),6 %,Brasserie Van Eecke
Crack Pils,"Fermentation basse, Pils",5 %,Brasserie Het Sas
La Cre Tonnerre,"Fermentation haute, Triple",7 %,Brasserie de Silly
Crianza,Lambic,7 %,Brasserie de la Senne
Cristal Alken,"Fermentation basse, Pils","4,8 %",Alken-Maes (Heineken)
Cristal 1928,"Fermentation basse, Pils","5,8 %",Alken-Maes (Heineken)
Crius,Blonde Forte,"8,5%",Brassée
Curtius,"Blonde, Triple",7 %,Microbrasserie de la Principauté
Cuvée Angélique,"Double, Spéciale","8,3 %",Brasserie De Glazen Toren
Cuvée de Bouillon,"Blonde, Fermentation haute","6,5 %",Brasserie de Bouillon
Cuvée de Briqville,,7 %,Brasserie Van Steenberge
Cuvée de Francorchamps,(Bière-étiquette),8 %,Brasserie Lefebvre
Cuvée De Ranke,Fermentation mixte,7 %,Brasserie De Ranke
Cuvée des Trolls,"Fermentation haute, Blonde",7 %,Brasserie Dubuisson
Cuvée des Trolls Triple,"Blonde, Triple",7 %,Brasserie Dubuisson
Cuvée Delphine,Stout,13 %,De Struise Brouwers par la Brasserie Deca
Cuvée d'Erpigny,Quadruple,15 %,Brasserie Alvinne
La cuvée du Boulanger,Blonde,6 %,Brasserie de Bouillon
Cuvée du Château,Brune,11 %,Brasserie Van Honsebrouck
Cuvée du Flo Ambrée,"Fermentation haute, Ambrée","8,5 %",Brasserie du Flo
Cuvée du Flo Blonde,"Fermentation haute, Blonde",8 %,Brasserie du Flo
Cuvée du Flo Brune,"Fermentation haute, Brune",9 %,Brasserie du Flo
Cuvée du Flo Fruit,"Fermentation haute, Fruitée","6,5 %",Brasserie du Flo
Cuvée du Flo Miel,"Fermentation haute, Bière au miel","8,5 %",Brasserie du Flo
Cuvée du Tchesté,Fermentation haute,"7,5 %",Brasserie Les 3 Fourquets
Cuvée Ermesinde,"Fermentation haute, Ambrée","7,8 %",Brasserie Saint-Monon
Cuvée Freddy,Stout,10 %,Brasserie Alvinne
Cuvée Jeun'homme,Blonde,"6,5 %",Brasserie De Leite
Cuvée Jolie Môme,"Fermentation haute, Blanche","4,5 %",Brasserie du Flo
Cuvée René Oude Gueuze,Gueuze,"5,5 %",Brasserie Lindemans
Cuvée René Oude Kriek,Fruitée à base de Lambic,6 %,Brasserie Lindemans
Cuvée Li Crochon,Blonde,"6,5 %",Brasserie du Bocq
Cuvée Li Crochon,"Fermentation haute, Brune","8,7 %",Brasserie du Bocq
Cuvée Mam'zelle,Blonde,"8,5 %",Brasserie De Leite
La Cuvée Nico,Blonde,8 %,Brasserie du Brabant
Cuvée Saint-Antoine Blonde,Abbaye,"7,5 %",Brasserie du Flo
Cuvée Saint-Antoine Brune,"Abbaye, Ale",9 %,Brasserie du Flo
Cuvée Saint Gilloise,Gueuze,5 %,Brasserie Cantillon
Cuvée van de Keizer Blauw,RougeSpéciale,11 %,Brasserie Het Anker
Cuvée van de Keizer Rood,"Blonde, Spéciale",10 %,Brasserie Het Anker
Dagelyckx bier,(Bière-étiquette),8 %,Brasserie Jessenhofke
Dame des Lacs Blonde,Blonde,"6,2 %",Brasserie La Binchoise
Dame des Lacs Brune,Brune,"7,7 %",Brasserie La Binchoise
Darinckdelver,Stout,"10,5 %",Brasserie Alvinne
Dark Oster,Noire,8 %,Brasserie d'Oster
Dark Sister,Brune,"6,7 %",Brasserie Anders!
Dark White BBB,Fermentation haute,"4,5 %",Brasserie Fantôme
De Boomgaard Framboise,Fruitée,"4,9 %",Brasserie d'Écaussinnes
de Chokier,"Fermentation haute, Ambrée",7 %,De Proefbrouwerij
De Eycken Balthazar,brune,9 %,Brasserie Alvinne
De Garre Tripel,Triple,"11,5 %",Staminee De Garre (Brasserie Van Steenberge)
De Graal Blond,Blonde,"6,5 %",Brasserie De Graal
De Graal Dubbel,brune,"6,5 %",Brasserie De Graal
De Graal Gember,Blonde,8 %,Brasserie De Graal
De Graal SloCK,,"6,5 %",Brasserie De Graal
De Graal Tripel,Triple,9 %,Brasserie De Graal
De Graal Quest,,9 %,Brasserie De Graal
De Graal Triverius,Blanche,"6,8 %",Brasserie De Graal
Deinze Export,,"4,6 %",Huisbrouwerij Sint Canarus
De Kavijaks,IPA,7 %,De Dolle Brouwers
De Koninck,Ambrée,"5,2 %",Brasserie De Koninck (Brasserie Duvel Moortgat)
De Koninck Triple d'Anvers,Blonde,,Brasserie De Koninck (Brasserie Duvel Moortgat)
De Koninck Winter,Rouge,"6,5 %",Brasserie De Koninck (Brasserie Duvel Moortgat)
Delhaize Christmas,(Bière-étiquette),9 %,Brasserie Affligem (Heineken)
Delhaize Bière de table Blond,Bière de table,"1,5 %",Brasserie Piedbœuf (InBev)
Delhaize Bière de table Brune,Bière de table,"1,5 %",Brasserie Piedbœuf (InBev)
Delirium Nocturnum,"Brune, Fermentation haute",9 %,Brasserie Huyghe
Delirium Tremens,Triple,9 %,Brasserie Huyghe
Delirium Christmas,Bière de Noël,10 %,Brasserie Huyghe
Delirium Red,Fruitée,"8,5 %",Brasserie Huyghe
Delta,Blonde,6 %,Brasserie Anders!
De Maeght van Gottem,Blonde,"6,5 %",Huisbrouwerij Sint-Canarus
De Nacht,Bière de Noël,"5,2 %",Brasserie Vissenaken
Den Alternatief,Lager,5 %,Brasserie Het Alternatief par la Brasserie Alvinne
Den Bi3r,Triple,9 %,Brasserie Den Tseut
Den Bras,Brune,"7,5 %",Brasserie Den Tseut
Den Drupneuze,Bière de Noël,"8,5 %",Brasserie Den Tseut
Den Herberg Amber,Ambrée,5 %,Brasserie Den Herberg
Den Herberg Blond,Blonde,"5,5 %",Brasserie Den Herberg
Den Herberg Bruin,Brune,"5,5 %",Brasserie Den Herberg
Den Herberg Tarwe,Blanche,5 %,Brasserie Den Herberg
Den Mulder,Blonde,8 %,Brasserie Den Tseut
Den Tseut,"Blonde, Spéciale","6,5 %",Brasserie Den Tseut
Den Twaalf,Fermentation haute,12 %,Brasserie 't Gaverhopke
Den Zytholoog,Blonde,"6,6 %",Brasserie De Graal
Dendermonde Tripel,"Abbaye, Triple",8 %,Brasserie De Block
Dentergems Wit,Blanche,5 %,Brasserie Het Anker
De Regenboog IJzer,,6 %,Brasserie De Regenboog
Deugniet,Triple (Bière-étiquette),"7,3 %",Brasserie du Bocq
DeuS,"Brut, Blonde","11,5 %",Brasserie Bosteels
Deux Nigauds,Brune,8 %,Brasserie Grain d'Orge
De Verboden Vrucht,Fermentation haute,"8,5 %",Brasserie De Kluis (InBev)
De Vlier X-Mas,Bière de Noël,"8,5 %",Brasserie De Vlier
Diabolici,Triple,8 %,Groupe John Martin
Dikke Mathile,Fermentation haute,6 %,Brasserie Strubbe
Diôle,Blonde,"6,5 %",Brasserie des Carrières
Diôle Ambrée,Ambrée,"7,5 %",Brasserie des Carrières
Diôle Brune,Brune,"8,5 %",Brasserie des Carrières
Diôle de Noël,Saison,"8,5 %",Brasserie des Carrières
La Divine,"Fermentation haute, Ambrée","9,5 %",Brasserie de Silly
Dju d'la,Brune,"6,5 %",Brasserie Grain d'Orge
Dobbel Palm,Fermentation haute,6 %,Brasserie Palm
Dobbelken Amber,Ambrée,"6,5 %",Brasserie Strubbe
Dobbelken Bruin,Brune,5 %,Brasserie Strubbe
Dogabière,(Bière-étiquette),"6,5 %",Huisbrouwerij Sint-Canarus
Dominus Dubbel,Abbaye,"6,5 %",Groupe John Martin
Dominus Tripel,"Abbaye, Triple",8 %,Groupe John Martin
Donkere Stoere,Brune,"8,2 %",Brasserie Dijkwaert
Double Bie,Brune,"6,5 %",Brasserie De Bie
Double de Brabant,"Double, Brune","6,5 %",Groupe John Martin
Double Enghien Blonde,"Fermentation haute, Blonde","7,5 %",Brasserie de Silly
Double Enghien Brune,"Fermentation haute, Ambrée",8 %,Brasserie de Silly
Double Export,"Fermentation haute, Ambrée","6,4 %",Brasserie L'Imprimerie
La Douce Vertus,"Fermentation haute, Ale",7 %,Brasserie Millevertus
Douffe - Strong Ale,"Fermentation haute, cuivrée",8 %,Les Caves de Saint-Georges
Douffe - Dark Strong Ale,"Fermentation haute, brune",8 %,Les Caves de Saint-Georges
Douffe - IPA,"Fermentation haute, blonde","6,5 %",Les Caves de Saint-Georges
Douffe - Blanche de Mons,"Fermentation haute, blanche",5 %,Les Caves de Saint-Georges
Douffe - Cuvée Saint Georges,"Blonde de soif, ale","5,5 %",Les Caves de Saint-Georges
Douglas Celtic Brown,"Brune, Ale","7,9 %",Scottish & Newcastle
Douglas Celtic Lager,"Blonde, Lager",5 %,Scottish & Newcastle
Douglas Celtic Red,"Ambrée-rouge, Fermentation haute","7,9 %",Scottish & Newcastle
Douglas Celtic Super,"Blonde, Fermentation haute","7,9 %",Scottish & Newcastle
Douglas Celtic XXX Strong,"Blonde, Fermentation haute",12 %,Scottish & Newcastle
Drongens Plezierke,"Fermentation haute, Brune","7,5 %",Brasserie Slaghmuylder
Druïde Blond,Blonde,"6,5 %",De Proefbrouwerij
Druïde Bruin,Brune,"6,5 %",De Proefbrouwerij
Druïde Grand Q,"Triple, Blonde","8,5 %",De Proefbrouwerij
Druivenbière,Fruitée,6 %,Brasserie Van Steenberge
Dubbel Buitenlust,Blonde,"8,5 %",De Proefbrouwerij
Dubbel Klok,Brune,"8,5 %",Brasserie Boelens
Ducassis,Fruitée,3 %,Brasserie des Légendes
Duchesse de Bourgogne,Vieille brune,"6,2 %",Brasserie Verhaeghe
Duivels bière,Brune,8 %,Brasserie Boon
Dulle Griet,Double,"6,5 %",De Scheldebrouwerij
Dulle Teve,Triple,10 %,De Dolle Brouwers
Durboyse blonde,Blonde,"6,5 %",Brasserie Lefebvre
Durboyse brune,Brune,6 %,Brasserie Lefebvre
Durboyse triple,"Blonde, Triple",8 %,Brasserie Lefebvre
Duvel,Fermentation haute,"8,5 %",Brasserie Duvel Moortgat
Duvel Tripel Hop,Fermentation haute,"9,5 %",Brasserie Duvel Moortgat
Échappée Belle,Blonde,6 %,Brasserie L'Échappée Belle
Echt Kriekenbière,Fruitée,"6,8 %",Brasserie Verhaeghe
Echte Kriek,Fruitée,"6,8 %",Brasserie Verhaeghe
Edel-Brau,NA,"0,3 %",Brasserie Strubbe
Eerwaarde Pater,Rouge-brune,9 %,Brasserie Het Alternatief par la Brasserie De Graal ou Brasserie Alvinne
Eeuwige Liefde,Brune,"8,2 %",Brasserie Dijkwaert
Egmont,Blonde,"6,5 %",Brasserie Strubbe
Ekla,Blonde Fermentation haute,5 %,Brasserie L'Imprimerie
Elfique Ambrée,Ambrée,7 %,Brasserie Elfique
Elfique Blanche,Blanche,"5,5 %",Brasserie Elfique
Elfique IPA,IPA,6 %,Brasserie Elfique
Elfique Triple Brune,"Brune, Triple",8 %,Brasserie Elfique
Elliot Brew,IPA,9 %,De Struise Brouwers par la Brasserie Deca
El Toro,"Fermentation haute, IPA","6,5 %",Brasserie Contreras
Embrasse,"Fermentation haute, Brune",9 %,Brasserie De Dochter van de Korenaar
Embrasse Special Edition,Fermentation haute,9 %,Brasserie De Dochter van de Korenaar
Ename Blond,"Abbaye, Fermentation haute","6,5 %",Brasserie Roman
Ename Dubbel,"Abbaye, Fermentation haute","6,5 %",Brasserie Roman
Ename Tripel,"Abbaye, Triple","8,5 %",Brasserie Roman
Ename Cuvée 974,Fermentation haute,7 %,Brasserie Roman
L'Enfant Terrible,Fermentation haute,7 %,Brasserie De Dochter van de Korenaar
Enfant Terriple,"Blonde, Triple","8,2 %",Brasserie De Leite
Enghien Noël,"Fermentation haute, Triple, Bière de Noël",9 %,Brasserie de Silly
Equinox,Brune,8 %,Brasserie de la Senne
Esperluette Ambrée,Ambrée,"6,2 %",Brasse & Vous
Esperluette Blonde,Blonde,"7,1 %",Brasse & Vous
Esperluette Gla-Gla,"Saison, Brune","7,5 %",Brasse & Vous
Estaminet Premium Pils,Pils,"5,2 %",Brasserie Palm
Eupener Bier,Pils,"5,2 %",Brasserie Haacht
Export 8,Pils,"4,7 %",Brasserie Haacht
Ezel Bruin,Brune,"6,5 %",Brasserie Bobbi
Ezel Wit,Blanche,"5,8 %",Brasserie Bobbi
Fagnes au Miel biologique,Bio,"6,5 %",Brasserie des Fagnes
Fagnes Blanche,Blanche,"5,8 %",Brasserie des Fagnes
Fagnes Fruits des Bois,Fruitée,6 %,Brasserie des Fagnes
Fagnes La Saison,Blonde,"6,5 %",Brasserie des Fagnes
Fagnes Quatre Céréales,Blonde,"8,5 %",Brasserie des Fagnes
Fancy,NA,"0,5 %",Brasserie Bobbi
Fantôme,Fermentation haute,8 %,Brasserie Fantôme
Fantôme Chocolat,Fermentation haute,8 %,Brasserie Fantôme
Fantôme Spéciale Noel,Fermentation haute,8 %,Brasserie Fantôme
Faro Boon,Faro,4 %,Brasserie Boon
Faro Girardin,Faro,5 %,Brasserie Girardin
Faro Lambic Lindemans,Faro,"4,5 %",Brasserie Lindemans
Faro Perte Totale,Faro,5 %,Brasserie Boon
Fasso Blond,Blonde,"6,5 %",Brasserie Vissenaken
Fée Steve,Blonde,"6,3 %",Brasserie Valduc-Thor
Fée verte,ISA,"4,7 %",Brasserie Valduc-Thor
Felix Kriek Vieille brune,Kriek,6 %,Brasserie Verhaeghe
Felix Kriekbière,Kriek,"5,2 %",Brasserie Verhaeghe
Felix Vieille brune,Brune,"5,2 %",Brasserie Verhaeghe
Felix Speciaal Oudenaards,Rouge-brune,"4,6 %",Brasserie Verhaeghe
Femme Fatale,"Fermentation haute, Ambrée","6,5 %",Brasserie De Leite
Ferme Framboos,Fruitée,8 %,Brasserie De Vlier
Festina Lente,Brune,7 %,Brasserie Alvinne
La Fidèle,Ambrée,5%,Brasserie Jean Tout Seul
Finesse,"Fermentation haute, Triple","8,5 %",Brasserie De Dochter van de Korenaar
Flandrien,Fermentation haute,7 %,Brasserie Louwaege
Flodder,Fermentation haute,8 %,De Proefbrouwerij
Floreffe Blanche,"Blanche, Abbaye","4,5 %",Brasserie Lefebvre
Floreffe Blonde,Abbaye,"6,3 %",Brasserie Lefebvre
Floreffe Double,Abbaye,"6,3 %",Brasserie Lefebvre
Floreffe Prima Melior,Abbaye,8 %,Brasserie Lefebvre
Floreffe Triple,Abbaye,"7,5 %",Brasserie Lefebvre
Florilège de Pensée,Fruitée,9 %,Brasserie d'Écaussinnes
Florilège de Rose,Fruitée,9 %,Brasserie d'Écaussinnes
Florilège de Sureau,Fruitée,9 %,Brasserie d'Écaussinnes
Florilège d’Hibiscus,Fruitée,9 %,Brasserie d'Écaussinnes
Floris Cactus,Blanche,"4,2 %",Brasserie Huyghe
Floris Chocolat,Brune,"4,2 %",Brasserie Huyghe
Floris Fraise,Fruitée,"3,6 %",Brasserie Huyghe
Floris Framboise,Fruitée,"3,7 %",Brasserie Huyghe
Floris Griotte,Fruitée,3 %,Brasserie Huyghe
Floris Honey,Bière au miel,"4,5 %",Brasserie Huyghe
Floris Kriek,Fruitée,"3,6 %",Brasserie Huyghe
Floris Mango,Fruitée,"3,6 %",Brasserie Huyghe
Floris Ninkeberry,Fruitée,"3,6 %",Brasserie Huyghe
Floris Passion,Fruitée,"3,6 %",Brasserie Huyghe
Floris Pear,Fruitée,"3,5 %",Brasserie Huyghe
Floris Pomme / Apple,Fruitée,"3,5 %",Brasserie Huyghe
Floris Blanche,Blanche,5 %,Brasserie Huyghe
Florival Blond,Abbaye,7 %,Brasserie Affligem (Heineken)
Florival Bruin,Brune,7 %,Brasserie Affligem (Heineken)
Florival Tripel,Triple,"8,5 %",Brasserie Affligem (Heineken)
Florival Winter,Rouge-brune,9 %,Brasserie Affligem (Heineken)
Foewerbière,Ambrée,7 %,Brasserie Kompel
Forestinne Ambrosia,Ambrée,"7,5 %",Brasserie Caracole
Forestinne Elexir,Fruitée,? %,Brasserie Caracole
Forestinne Gothika,Ale,"7,5 %",Brasserie Caracole
Forestinne Mysteria,"Blonde, Spéciale","7,5 %",Brasserie Caracole
Forestinne Nordika,Bière de Noël,"7,5 %",Brasserie Caracole
Forestinne Primoria,Blonde,"7,5 %",Brasserie Caracole
Forêt,Blonde,"6,2 %",Brasserie Forêt
Forêt Amazone,Blonde,"5,3 %",Brasserie Forêt
Forêt d'Ambre,Ambrée,"7,2 %",Brasserie Forêt
Forêt Triple,"Blonde,  Triple","8,2 %",Brasserie Forêt
Forêt Noire,Noire,"9,2 %",Brasserie Forêt
La Forgeronne,Ambrée,6 %,Brasserie de Tubize
Fort Lapin 6,Blonde,6 %,Brasserie Fort Lapin
Fort Lapin 8,Triple,8 %,Brasserie Fort Lapin
Fort Lapin 10,Quadruple,10 %,Brasserie Fort Lapin
Framboise Boon,"Lambic, Fruitée",6 %,Brasserie Boon
Framboise Girardin,"Lambic, Fruitée",5 %,Brasserie Girardin
Framboise Lindemans,"Lambic, Fruitée","2,5 %",Brasserie Lindemans
Framboise Max Jacobins,"Lambic, Fruitée",3 %,Brasserie Boon
Framboise Oud Beersel,"Lambic, Fruitée",5 %,Brasserie Oud Beersel
FrancheFleur,Blonde,"6,5 %",Brasserie Grain d'Orge
Frasnoise Givrée,Ambrée,"6,3 %",Brasserie La Frasnoise
Frasnoise Rétro,Ambrée,"6,5 %",Brasserie La Frasnoise
Freaky,"Brune, Ale","3,8 %",Brasserie Alvinne
Freaky Dark,Lambic,"3,8 %",Brasserie Alvinne
Fruitig bièrereke,Fruitée,"8,2 %",Brasserie Dijkwaert
Le Fruit Défendu (Verboden Vrucht),Brune,9 %,Brasserie De Kluis (InBev)
La Fumette,"Fermentation haute, Rauchbier","6,5 %",Brasserie Millevertus
Gageleer,Bio,"7,5 %",De Proefbrouwerij
Gaspar,Ambrée,8 %,Brasserie Alvinne
Gauloise Ambrée,Ambrée,"5,5 %",Brasserie du Bocq
Gauloise Blonde,Blonde,"6,3 %",Brasserie du Bocq
Gauloise Triple Blonde,"Blonde, Triple","9,7 %",Brasserie du Bocq
Gauloise Brune,Brune,"8,1 %",Brasserie du Bocq
Gauloise Fruits rouges,Fruitée,"8,2 %",Brasserie du Bocq
Gauloise Christmas,Bière de Noël,"8,1 %",Brasserie du Bocq
Gauloise Blonde,Blonde,"6,3 %",Brasserie du Bocq
Gengoulf,Blonde,"6,1 %",Brasserie Gengoulf
Gengoulf aux Cèpes,Blonde,"7,5 %",Brasserie Gengoulf
Gentse Tripel,Blonde,8 %,Brasserie Van Steenberge
Gertrude Ambrée,"Ambrée, Fermentation haute",6 %,Brasserie de Bouillon
Gertrude Triple,Triple,"7,5 %",De Proefbrouwerij
Ghulden Cop,Blonde,6 %,Brasserie De Graal
Gigi speciale,Bière de table,"2,5 %",Brasserie Gigi
Gildenbière,"Fermentation haute, Brune",7 %,Brasserie Haacht
Ginder Ale,"Fermentation haute, Ambrée","5,1 %",InBev
Glutaner,Pils,"5,2 %",Brasserie Huyghe
Goeie Koffe,Stout,"9,5 %",Brasserie Dijkwaert
Golden Kenia,Pils,"5,1 %",Brasserie Huyghe
Golding Campina,Pils,"4,8 %",Alken-Maes (Heineken)
Gold Pils,Pils,5 %,Brasserie Bobbi
Goliath Blonde,"Fermentation haute, Blonde","5,5 %",Brasserie des Légendes
Goliath Triple,"Fermentation haute, Triple",9 %,Brasserie des Légendes
Goliath Winter,"Fermentation haute, Ambrée",7 %,Brasserie des Légendes
"Gordon 0,00",NA,0 %,Groupe John Martin
Gordon Finest Chrome,Fermentation haute,"10,5 %",Groupe John Martin
Gordon Finest Copper,Fermentation haute,"6,6 %",Groupe John Martin
Gordon Finest Gold,Fermentation haute,10 %,Groupe John Martin
Gordon Finest Platinum,Fermentation haute,12 %,Groupe John Martin
Gordon Finest Red,"Fermentation haute, Rouge","8,4 %",Groupe John Martin
Gordon Finest Scotch,Ale,"8,6 %",Groupe John Martin
Gordon Finest Silver,Fermentation haute,"7,7 %",Groupe John Martin
Gordon Finest Zero,NA,0 %,Groupe John Martin
Gordon Five,Pils,5 %,Groupe John Martin
Gordon Xmas,Bière de Noël,"8,8 %",Brasserie Palm
Goud Vuur,"Ambrée, Triple",9 %,Brasserie Dijkwaert
Gouden Arend 125,Blonde dorée,"8,5 %",Brasserie De Ryck
Gouden Carolus Ambrio,Ambrée,8 %,Brasserie Het Anker
Gouden Carolus Christmas,"Brune, Spéciale","10,5 %",Brasserie Het Anker
Gouden Carolus Classic,"Brune, Spéciale","8,5 %",Brasserie Het Anker
Gouden Carolus Easter,"Brune, Spéciale",10 %,Brasserie Het Anker
Gouden Carolus Hopsinjoor,"Blonde, Spéciale",8 %,Brasserie Het Anker
Gouden Carolus Tripel,Triple,9 %,Brasserie Het Anker
Gouden Pier Kloeffe,"Fermentation haute, Triple","8,1 %",De Proefbrouwerij
Gouyasse,"Fermentation haute, Blonde",7 %,Brasserie des Monts
